#decoys scores
complex.625.pdb -1.7135
complex.626.pdb -5.1478
complex.627.pdb 3.7641
complex.628.pdb 0.5001
complex.629.pdb -4.8718
complex.630.pdb 0.2930
complex.631.pdb -5.6513
complex.632.pdb -2.4043
complex.633.pdb 5.9584
complex.634.pdb 1.3068
complex.635.pdb 2.9004
complex.636.pdb -2.0882
complex.637.pdb 5.3303
complex.638.pdb -2.6298
complex.639.pdb 2.9541
complex.640.pdb -3.2817
complex.641.pdb 4.9394
complex.642.pdb -3.9154
complex.643.pdb 6.1080
complex.644.pdb 6.2667
complex.645.pdb 4.6273
complex.646.pdb -1.1345
complex.647.pdb -1.0144
complex.648.pdb -1.0090
complex.649.pdb 2.2566
complex.650.pdb -1.6478
complex.651.pdb -2.4805
complex.652.pdb 1.3705
complex.653.pdb 6.9697
complex.654.pdb -3.5128
complex.655.pdb -0.6145
complex.656.pdb -4.3618
complex.657.pdb -1.0521
complex.658.pdb -1.1441
complex.659.pdb -0.9009
complex.660.pdb -3.6388
complex.661.pdb 7.6019
complex.662.pdb 2.2731
complex.663.pdb 0.1347
complex.664.pdb 1.6403
complex.665.pdb -1.9122
complex.666.pdb -3.6016
complex.667.pdb -1.1777
complex.668.pdb -2.6770
complex.669.pdb 4.6619
complex.670.pdb 6.8220
complex.671.pdb 5.1558
complex.672.pdb -4.2465
complex.673.pdb -0.4698
complex.674.pdb -1.7659
complex.675.pdb 7.0369
complex.676.pdb -2.6342
complex.677.pdb -3.5923
complex.678.pdb 4.4453
complex.679.pdb 2.1622
complex.680.pdb -2.7651
complex.681.pdb 6.6756
complex.682.pdb -1.1069
complex.683.pdb -1.7190
complex.684.pdb -3.2698
complex.685.pdb -4.3538
complex.686.pdb 4.8269
complex.687.pdb -4.4572
complex.688.pdb -1.5197
complex.689.pdb -4.1132
complex.690.pdb -1.0261
complex.691.pdb -0.1985
complex.692.pdb -3.5391
complex.693.pdb -0.6064
complex.694.pdb -3.0682
complex.695.pdb -1.9092
complex.696.pdb 1.8344
complex.697.pdb 4.1595
complex.698.pdb 3.6721
complex.699.pdb 0.1338
complex.700.pdb -5.7711
complex.701.pdb 0.9644
complex.702.pdb 1.4521
complex.703.pdb 2.2304
complex.704.pdb -1.6525
complex.705.pdb 7.2455
complex.706.pdb -1.6115
complex.707.pdb -0.7812
complex.708.pdb -6.1198
complex.709.pdb -2.4541
complex.710.pdb -2.1588
complex.711.pdb -0.4092
complex.712.pdb 6.0458
complex.713.pdb -3.2652
complex.714.pdb -4.7732
complex.715.pdb 5.6466
complex.716.pdb 1.7748
